character	countSpeechesInEpisode	Episode ID
MAN	2	01x04.xml
MOB	4	01x04.xml
VICE MINISTER	2	01x04.xml
BANKER	1	01x04.xml
CHILD A	1	01x04.xml
SWAN	31	01x04.xml
SWAN	1	01x06.xml
FATHER D	2	01x04.xml
INSTRUCTOR G	1	01x04.xml
EVANS	25	01x04.xml
WALTER EVANS HOUSEMASTER OF DORM SUBJECT TAUGHT	1	01x04.xml
MURDOCH SWAN HOUSEMASTER OF DORM "CLINE HALL" SUBJECT TAUGHT	1	01x04.xml
HENRY HENDERSON HOUSEMASTER OF DORM "CECIL HALL" SUBJECT TAUGHT	1	01x04.xml
EVAN	1	01x04.xml
FLASHBACK LOID	1	01x04.xml
ANYA INTERNAL	2	01x04.xml
FEMALE MEMBER	16	01x05.xml
CAPTION	1	01x05.xml
ZACHRY FEISS	7	01x05.xml
PRINCESS HONEY	2	01x05.xml
COMMANDER (TV)	3	01x05.xml
TV NARRATOR	5	01x05.xml
COMMS ENGINEER	16	01x05.xml
FALCON	1	01x05.xml
FRANKY AND ANYA	1	01x05.xml
AGENT	15	01x05.xml
AGENTS	2	01x05.xml
WAITER	2	01x06.xml
WISE HANDLERSYLVIA SHERWOOD ALIAS	1	01x06.xml
HANDLER	35	01x06.xml
HANDLER	13	01x08.xml
HANDLER	11	01x11.xml
MOTHER A	2	01x06.xml
MOTHER B	1	01x06.xml
MOTHER B'S CHILD	1	01x06.xml
MOTHER A'S CHILD	1	01x06.xml
THUG A	10	01x06.xml
THUG B	7	01x06.xml
THUG C	1	01x06.xml
HEADMASTER	6	01x06.xml
INSTRUCTOR	21	01x06.xml
INSTRUCTOR	25	01x07.xml
INSTRUCTOR	7	01x10.xml
INSTRUCTOR	3	01x11.xml
DAMIAN	26	01x06.xml
DAMIAN	28	01x07.xml
DAMIAN	51	01x10.xml
DAMIAN	12	01x11.xml
BECKY	18	01x06.xml
BECKY	43	01x07.xml
BECKY	23	01x10.xml
BECKY	33	01x11.xml
CHILDREN	1	01x06.xml
EMILE	5	01x06.xml
EMILE	17	01x07.xml
EMILE	29	01x10.xml
EMILE	1	01x11.xml
EWEN	6	01x06.xml
EWEN	14	01x07.xml
EWEN	24	01x10.xml
EWEN	1	01x11.xml
STUDENT A	1	01x06.xml
STUDENT B	1	01x06.xml
STUDENT C	1	01x06.xml
EWEN AND EMILE	1	01x06.xml
FLASHBACK YOR	1	01x06.xml
FLASHBACK YOR	1	01x08.xml
STAFF	3	01x06.xml
PHOTOGRAPHER	3	01x06.xml
ALICE	2	01x07.xml
JESSE	2	01x07.xml
SARA	2	01x07.xml
JOHNNY	2	01x07.xml
MALE STUDENT B	2	01x07.xml
FEMALE STUDENT A	1	01x07.xml
MALE STUDENT A	1	01x07.xml
