word	nodeType	synsetCount	unit
launch	VERB	8	02x01_-_Follow_Mama_and_Papa
find	VERB	18	02x01_-_Follow_Mama_and_Papa
plot	VERB	8	02x01_-_Follow_Mama_and_Papa
put	VERB	10	02x01_-_Follow_Mama_and_Papa
give	VERB	45	02x01_-_Follow_Mama_and_Papa
create	VERB	6	02x01_-_Follow_Mama_and_Papa
codename	VERB	0	02x01_-_Follow_Mama_and_Papa
codename	VERB	0	02x01_-_Follow_Mama_and_Papa
read	VERB	12	02x01_-_Follow_Mama_and_Papa
glimpse	VERB	4	02x01_-_Follow_Mama_and_Papa
create	VERB	6	02x01_-_Follow_Mama_and_Papa
continue	VERB	10	02x01_-_Follow_Mama_and_Papa
hide	VERB	6	02x01_-_Follow_Mama_and_Papa
serialize	VERB	1	02x01_-_Follow_Mama_and_Papa
complete	VERB	10	02x01_-_Follow_Mama_and_Papa
head	VERB	42	02x01_-_Follow_Mama_and_Papa
ask	VERB	7	02x01_-_Follow_Mama_and_Papa
pick	VERB	21	02x01_-_Follow_Mama_and_Papa
thank	VERB	1	02x01_-_Follow_Mama_and_Papa
die	VERB	14	02x01_-_Follow_Mama_and_Papa
follow	VERB	24	02x01_-_Follow_Mama_and_Papa
break	VERB	75	02x01_-_Follow_Mama_and_Papa
believe	VERB	5	02x01_-_Follow_Mama_and_Papa
belong	VERB	6	02x01_-_Follow_Mama_and_Papa
find	VERB	18	02x01_-_Follow_Mama_and_Papa
want	VERB	9	02x01_-_Follow_Mama_and_Papa
watch	VERB	13	02x01_-_Follow_Mama_and_Papa
be	VERB	14	02x01_-_Follow_Mama_and_Papa
gain	VERB	13	02x01_-_Follow_Mama_and_Papa
release	VERB	22	02x01_-_Follow_Mama_and_Papa
change	VERB	20	02x01_-_Follow_Mama_and_Papa
tail	VERB	11	02x01_-_Follow_Mama_and_Papa
find	VERB	18	02x01_-_Follow_Mama_and_Papa
hide	VERB	6	02x01_-_Follow_Mama_and_Papa
destroy	VERB	4	02x01_-_Follow_Mama_and_Papa
thank	VERB	1	02x01_-_Follow_Mama_and_Papa
feel	VERB	17	02x01_-_Follow_Mama_and_Papa
be	VERB	14	02x01_-_Follow_Mama_and_Papa
tell	VERB	9	02x01_-_Follow_Mama_and_Papa
tell	VERB	9	02x01_-_Follow_Mama_and_Papa
shoot	VERB	22	02x01_-_Follow_Mama_and_Papa
treat	VERB	10	02x01_-_Follow_Mama_and_Papa
shoot	VERB	22	02x01_-_Follow_Mama_and_Papa
go	VERB	35	02x01_-_Follow_Mama_and_Papa
die	VERB	14	02x01_-_Follow_Mama_and_Papa
worry	VERB	8	02x01_-_Follow_Mama_and_Papa
die	VERB	14	02x01_-_Follow_Mama_and_Papa
head	VERB	42	02x01_-_Follow_Mama_and_Papa
feel	VERB	17	02x01_-_Follow_Mama_and_Papa
ask	VERB	7	02x01_-_Follow_Mama_and_Papa
go	VERB	35	02x01_-_Follow_Mama_and_Papa
shop	VERB	7	02x01_-_Follow_Mama_and_Papa
ask	VERB	7	02x01_-_Follow_Mama_and_Papa
do	VERB	16	02x01_-_Follow_Mama_and_Papa
make	VERB	51	02x01_-_Follow_Mama_and_Papa
die	VERB	14	02x01_-_Follow_Mama_and_Papa
shoot	VERB	22	02x01_-_Follow_Mama_and_Papa
ruin	VERB	12	02x01_-_Follow_Mama_and_Papa
do	VERB	16	02x01_-_Follow_Mama_and_Papa
fix	VERB	17	02x01_-_Follow_Mama_and_Papa
feel	VERB	17	02x01_-_Follow_Mama_and_Papa
hurt	VERB	14	02x01_-_Follow_Mama_and_Papa
need	VERB	7	02x01_-_Follow_Mama_and_Papa
do	VERB	16	02x01_-_Follow_Mama_and_Papa
lift	VERB	36	02x01_-_Follow_Mama_and_Papa
go	VERB	35	02x01_-_Follow_Mama_and_Papa
help	VERB	12	02x01_-_Follow_Mama_and_Papa
take	VERB	44	02x01_-_Follow_Mama_and_Papa
look	VERB	14	02x01_-_Follow_Mama_and_Papa
want	VERB	9	02x01_-_Follow_Mama_and_Papa
relax	VERB	8	02x01_-_Follow_Mama_and_Papa
let	VERB	8	02x01_-_Follow_Mama_and_Papa
take	VERB	44	02x01_-_Follow_Mama_and_Papa
go	VERB	35	02x01_-_Follow_Mama_and_Papa
go	VERB	35	02x01_-_Follow_Mama_and_Papa
go	VERB	35	02x01_-_Follow_Mama_and_Papa
marry	VERB	2	02x01_-_Follow_Mama_and_Papa
gain	VERB	13	02x01_-_Follow_Mama_and_Papa
go	VERB	35	02x01_-_Follow_Mama_and_Papa
suspect	VERB	6	02x01_-_Follow_Mama_and_Papa
have	VERB	20	02x01_-_Follow_Mama_and_Papa
go	VERB	35	02x01_-_Follow_Mama_and_Papa
feel	VERB	17	02x01_-_Follow_Mama_and_Papa
go	VERB	35	02x01_-_Follow_Mama_and_Papa
use	VERB	13	02x01_-_Follow_Mama_and_Papa
learn	VERB	6	02x01_-_Follow_Mama_and_Papa
learn	VERB	6	02x01_-_Follow_Mama_and_Papa
dress	VERB	21	02x01_-_Follow_Mama_and_Papa
want	VERB	9	02x01_-_Follow_Mama_and_Papa
go	VERB	35	02x01_-_Follow_Mama_and_Papa
come	VERB	22	02x01_-_Follow_Mama_and_Papa
have	VERB	20	02x01_-_Follow_Mama_and_Papa
come	VERB	22	02x01_-_Follow_Mama_and_Papa
listen	VERB	3	02x01_-_Follow_Mama_and_Papa
have	VERB	20	02x01_-_Follow_Mama_and_Papa
tell	VERB	9	02x01_-_Follow_Mama_and_Papa
call	VERB	41	02x01_-_Follow_Mama_and_Papa
have	VERB	20	02x01_-_Follow_Mama_and_Papa
leave	VERB	17	02x01_-_Follow_Mama_and_Papa
keep	VERB	25	02x01_-_Follow_Mama_and_Papa
say	VERB	12	02x01_-_Follow_Mama_and_Papa
want	VERB	9	02x01_-_Follow_Mama_and_Papa
invent	VERB	2	02x01_-_Follow_Mama_and_Papa
help	VERB	12	02x01_-_Follow_Mama_and_Papa
keep	VERB	25	02x01_-_Follow_Mama_and_Papa
